order_id,order_timestamp,origin_region,destination_region,carrier,product_category,weight_kg,unit_margin_usd,order_value_usd,warehouse_receipt_time,pack_complete_time,ship_time,scheduled_delivery_date,actual_delivery_date,return_flag,is_unresolved_shipment,Time_to_Pack_Hours,Transit_Days_Scheduled,Delivery_Variance_Days,Order_to_Ship_Hours,Carrier_Route,distance_factor,Estimated_Shipping_Cost_USD,SLA_Status,Margin_Tier
ORD-101698,2024-01-17 04:32:00,South,Northeast,Standard,Apparel,0.65,14.0,41.84,2024-01-17 05:03:00,2024-01-17 08:45:03.875023846,2024-01-17 11:04:03.875023846,2024-01-22 11:04:03.875023846,2024-01-25 14:57:45.407325408,False,False,3.7,5.0,3.16,6.53,Standard | South -> Northeast,1.4,3.82,3-5 Days Late,Mid Margin ($10-20)
ORD-103225,2024-06-09 15:24:00,West,Northeast,Express,Books,0.55,4.0,23.04,2024-06-09 15:36:00,2024-06-10 01:23:01.818569148,2024-06-10 03:42:01.818569148,2024-06-12 03:42:01.818569148,2024-06-11 05:51:06.821767875,False,False,9.78,2.0,-0.91,12.3,Express | West -> Northeast,2.9,12.44,On-Time,Low Margin (<$10)
ORD-100403,2024-03-20 09:52:00,West,Northeast,Express,Apparel,0.74,14.0,63.64,2024-03-20 10:59:00,2024-03-20 14:08:11.637588261,2024-03-20 17:06:11.637588261,2024-03-22 17:06:11.637588261,2024-03-22 07:31:36.585301807,False,False,3.15,2.0,-0.4,7.24,Express | West -> Northeast,2.9,16.74,On-Time,Mid Margin ($10-20)
ORD-103534,2024-06-21 03:48:00,Southwest,West,Standard,Beauty,0.17,11.0,31.61,2024-06-21 04:56:00,2024-06-21 09:54:06.194918107,2024-06-21 12:13:06.194918107,2024-06-26 12:13:06.194918107,2024-06-26 09:17:48.521571997,False,False,4.97,5.0,-0.12,8.42,Standard | Southwest -> West,1.0,0.71,On-Time,Mid Margin ($10-20)
ORD-106046,2024-05-18 06:41:00,Midwest,Northeast,Standard,Toys,2.34,9.0,42.69,2024-05-18 07:19:00,2024-05-18 10:05:54.946764984,2024-05-18 12:59:54.946764984,2024-05-23 12:59:54.946764984,2024-05-24 23:23:02.516978277,False,False,2.78,5.0,1.43,6.32,Standard | Midwest -> Northeast,1.2,11.79,1-2 Days Late,Low Margin (<$10)
ORD-103047,2024-06-10 18:10:00,South,South,Standard,Toys,3.94,9.0,32.74,2024-06-10 19:11:00,2024-06-10 21:49:50.967246170,2024-06-11 00:19:50.967246170,2024-06-16 00:19:50.967246170,2024-06-17 11:29:21.982333179,False,False,2.65,5.0,1.46,6.16,Standard | South -> South,0.5,8.27,1-2 Days Late,Low Margin (<$10)
ORD-108862,2024-11-08 05:42:00,West,West,Standard,Books,0.5,4.0,19.67,2024-11-08 06:10:00,2024-11-08 09:21:50.916887934,2024-11-08 10:48:50.916887934,2024-11-13 10:48:50.916887934,2024-11-12 12:28:58.689233211,True,False,3.2,5.0,-0.93,5.11,Standard | West -> West,0.4,0.84,On-Time,Low Margin (<$10)
ORD-107146,2024-05-29 02:29:00,West,South,Standard,Toys,2.25,9.0,48.53,2024-05-29 03:45:00,2024-05-29 06:08:13.328642461,2024-05-29 09:15:13.328642461,2024-06-03 09:15:13.328642461,2024-06-03 14:27:34.162212445,False,False,2.39,5.0,0.22,6.77,Standard | West -> South,2.0,18.9,1-2 Days Late,Low Margin (<$10)
ORD-100507,2024-04-18 00:56:00,West,West,Standard,Toys,2.47,9.0,61.91,2024-04-18 01:39:00,2024-04-18 04:34:50.000966403,2024-04-18 07:33:50.000966403,2024-04-23 07:33:50.000966403,2024-04-22 17:17:04.588272075,False,False,2.93,5.0,-0.59,6.63,Standard | West -> West,0.4,4.15,On-Time,Low Margin (<$10)
ORD-104476,2024-01-03 14:09:00,Midwest,Northeast,Standard,Toys,0.67,9.0,46.26,2024-01-03 15:26:00,2024-01-03 16:55:45.026143425,2024-01-03 19:46:45.026143425,2024-01-08 19:46:45.026143425,2024-01-09 02:35:01.407484874,False,False,1.5,5.0,0.28,5.63,Standard | Midwest -> Northeast,1.2,3.38,1-2 Days Late,Low Margin (<$10)
ORD-101677,2024-06-23 16:17:00,Midwest,Midwest,Standard,Apparel,0.66,14.0,37.88,2024-06-23 16:50:00,2024-06-23 21:50:43.223634075,2024-06-23 22:54:43.223634075,2024-06-28 22:54:43.223634075,2024-06-28 17:30:33.860234644,False,False,5.01,5.0,-0.23,6.63,Standard | Midwest -> Midwest,0.5,1.39,On-Time,Mid Margin ($10-20)
ORD-102020,2024-09-26 20:52:00,Midwest,Southwest,Express,Toys,1.43,9.0,45.79,2024-09-26 21:36:00,2024-09-26 23:07:30.515129558,2024-09-27 00:03:30.515129558,2024-09-29 00:03:30.515129558,2024-09-28 22:14:16.394390102,False,False,1.53,2.0,-0.08,3.19,Express | Midwest -> Southwest,1.5,16.73,On-Time,Low Margin (<$10)
ORD-101682,2024-06-04 11:34:00,Northeast,South,Express,Electronics,4.61,38.0,250.92,2024-06-04 12:09:00,2024-06-04 14:42:12.654754264,2024-06-04 16:53:12.654754264,2024-06-06 16:53:12.654754264,2024-06-06 22:59:16.304346271,False,False,2.55,2.0,0.25,5.32,Express | Northeast -> South,1.4,50.34,1-2 Days Late,High Margin ($20+)
ORD-101649,2024-05-13 03:03:00,Southwest,Northeast,Standard,Apparel,0.65,14.0,45.84,2024-05-13 04:05:00,2024-05-13 06:56:16.027455830,2024-05-13 08:34:16.027455830,2024-05-18 08:34:16.027455830,2024-05-18 12:28:20.207074751,False,False,2.85,5.0,0.16,5.52,Standard | Southwest -> Northeast,2.4,6.55,1-2 Days Late,Mid Margin ($10-20)
ORD-102421,2024-11-20 11:23:00,West,South,Standard,Home Goods,5.82,22.0,80.47,2024-11-20 11:49:00,2024-11-20 13:37:22.718533154,2024-11-20 16:05:22.718533154,2024-11-25 16:05:22.718533154,2024-11-25 11:59:37.902287666,False,False,1.81,5.0,-0.17,4.71,Standard | West -> South,2.0,48.89,On-Time,High Margin ($20+)
ORD-107537,2024-03-14 06:29:00,West,West,Express,Toys,1.89,9.0,43.81,2024-03-14 07:55:00,2024-03-14 10:51:43.760831010,2024-03-14 11:39:43.760831010,2024-03-16 11:39:43.760831010,2024-03-16 20:29:08.205108131,False,False,2.95,2.0,0.37,5.18,Express | West -> West,0.4,5.9,1-2 Days Late,Low Margin (<$10)
ORD-104793,2024-03-19 04:04:00,Midwest,South,Express,Sports,3.37,17.0,83.4,2024-03-19 04:23:00,2024-03-19 05:47:05.086273172,2024-03-19 08:40:05.086273172,2024-03-21 08:40:05.086273172,2024-03-21 18:43:09.370931977,False,False,1.4,2.0,0.42,4.6,Express | Midwest -> South,1.1,28.91,1-2 Days Late,Mid Margin ($10-20)
ORD-109636,2024-04-13 19:25:00,Southwest,South,Express,Electronics,2.29,38.0,148.09,2024-04-13 20:12:00,2024-04-13 22:48:59.367003429,2024-04-13 23:54:59.367003429,2024-04-15 23:54:59.367003429,2024-04-16 03:53:15.589695837,False,False,2.62,2.0,0.17,4.5,Express | Southwest -> South,1.0,17.86,1-2 Days Late,High Margin ($20+)
ORD-101015,2024-01-08 21:04:00,Midwest,Southwest,Express,Home Goods,9.14,22.0,152.38,2024-01-08 22:13:00,2024-01-09 00:40:55.915054664,2024-01-09 04:23:55.915054664,2024-01-11 04:23:55.915054664,2024-01-11 04:25:16.631466518,False,False,2.47,2.0,0.0,7.33,Express | Midwest -> Southwest,1.5,106.94,On-Time,High Margin ($20+)
ORD-108921,2024-09-17 03:32:00,West,Northeast,Standard,Home Goods,7.6,22.0,99.66,2024-09-17 04:04:00,2024-09-17 08:43:23.139183387,2024-09-17 11:45:23.139183387,2024-09-22 11:45:23.139183387,2024-09-23 08:03:27.478603762,False,False,4.66,5.0,0.85,8.22,Standard | West -> Northeast,2.9,92.57,1-2 Days Late,High Margin ($20+)
ORD-103044,2024-03-18 11:01:00,Northeast,Northeast,Express,Sports,3.8,17.0,86.94,2024-03-18 11:46:00,2024-03-18 18:31:30.558376774,2024-03-18 20:56:30.558376774,2024-03-20 20:56:30.558376774,2024-03-20 21:43:27.748599319,False,False,6.76,2.0,0.03,9.93,Express | Northeast -> Northeast,0.4,11.86,1-2 Days Late,Mid Margin ($10-20)
ORD-103498,2024-12-29 21:26:00,Midwest,South,Express,Sports,2.47,17.0,85.65,2024-12-29 21:37:00,2024-12-30 04:51:10.975336249,2024-12-30 06:08:10.975336249,2025-01-01 06:08:10.975336249,2025-01-01 02:07:08.908742478,False,False,7.24,2.0,-0.17,8.7,Express | Midwest -> South,1.1,21.19,On-Time,Mid Margin ($10-20)
ORD-105524,2024-12-01 16:54:00,South,South,Express,Electronics,3.58,38.0,185.26,2024-12-01 18:06:00,2024-12-01 21:30:48.354801760,2024-12-01 23:12:48.354801760,2024-12-03 23:12:48.354801760,2024-12-04 05:21:15.339405793,False,False,3.41,2.0,0.26,6.31,Express | South -> South,0.5,13.96,1-2 Days Late,High Margin ($20+)
ORD-109554,2024-07-27 14:28:00,West,West,Express,Books,0.58,4.0,24.56,2024-07-27 15:09:00,2024-07-27 19:43:30.140944359,2024-07-27 20:40:30.140944359,2024-07-29 20:40:30.140944359,2024-07-30 18:02:00.569631121,False,False,4.58,2.0,0.89,6.21,Express | West -> West,0.4,1.81,1-2 Days Late,Low Margin (<$10)
ORD-102846,2024-04-30 10:23:00,West,Midwest,Express,Home Goods,7.46,22.0,147.55,2024-04-30 10:38:00,2024-04-30 13:08:03.494825834,2024-04-30 14:26:03.494825834,2024-05-02 14:26:03.494825834,2024-05-03 04:22:09.519894681,False,False,2.5,2.0,0.58,4.05,Express | West -> Midwest,1.8,104.74,1-2 Days Late,High Margin ($20+)
ORD-100835,2024-04-02 03:57:00,West,Northeast,Express,Books,0.28,4.0,19.76,2024-04-02 04:03:00,2024-04-02 06:47:44.166584342,2024-04-02 10:22:44.166584342,2024-04-04 10:22:44.166584342,2024-04-03 16:37:54.832863748,False,False,2.75,2.0,-0.74,6.43,Express | West -> Northeast,2.9,6.33,On-Time,Low Margin (<$10)
ORD-104863,2024-05-30 17:50:00,West,Midwest,Standard,Home Goods,1.36,22.0,109.26,2024-05-30 18:30:00,2024-05-30 19:26:04.706511738,2024-05-30 21:13:04.706511738,2024-06-04 21:13:04.706511738,2024-06-05 11:25:44.182463067,False,False,0.93,5.0,0.59,3.38,Standard | West -> Midwest,1.8,10.28,1-2 Days Late,High Margin ($20+)
ORD-103297,2024-07-06 14:50:00,Midwest,West,Standard,Beauty,0.21,11.0,34.65,2024-07-06 16:16:00,2024-07-06 19:31:58.034337728,2024-07-06 22:08:58.034337728,2024-07-11 22:08:58.034337728,2024-07-13 01:03:53.688024454,False,False,3.27,5.0,1.12,7.32,Standard | Midwest -> West,1.8,1.59,1-2 Days Late,Mid Margin ($10-20)
ORD-107961,2024-01-28 14:47:00,South,Northeast,Express,Apparel,0.14,14.0,61.75,2024-01-28 15:12:00,2024-01-28 19:37:57.414126666,2024-01-28 21:43:57.414126666,2024-01-30 21:43:57.414126666,2024-02-09 20:00:39.248056828,True,False,4.43,2.0,9.93,6.95,Express | South -> Northeast,1.4,1.53,Severely Delayed (5+ Days),Mid Margin ($10-20)
ORD-103145,2024-08-02 03:22:00,South,Northeast,Standard,Sports,3.32,17.0,90.97,2024-08-02 04:42:00,2024-08-02 09:16:03.707663858,2024-08-02 13:11:03.707663858,2024-08-07 13:11:03.707663858,2024-08-09 21:56:38.674538027,False,False,4.57,5.0,2.36,9.82,Standard | South -> Northeast,1.4,19.52,3-5 Days Late,Mid Margin ($10-20)
ORD-106115,2024-01-03 09:15:00,West,West,Standard,Toys,0.58,9.0,52.19,2024-01-03 10:36:00,2024-01-03 11:54:30.814421050,2024-01-03 15:28:30.814421050,2024-01-08 15:28:30.814421050,2024-01-09 02:08:10.920742474,False,False,1.31,5.0,0.44,6.23,Standard | West -> West,0.4,0.97,1-2 Days Late,Low Margin (<$10)
ORD-101901,2024-09-15 01:22:00,West,Midwest,Standard,Electronics,4.6,38.0,163.25,2024-09-15 02:21:00,2024-09-15 05:43:51.954185600,2024-09-15 06:30:51.954185600,2024-09-20 06:30:51.954185600,2024-09-21 09:30:27.455695614,False,False,3.38,5.0,1.12,5.15,Standard | West -> Midwest,1.8,34.78,1-2 Days Late,High Margin ($20+)
ORD-101411,2024-08-09 06:47:00,Midwest,West,Standard,Sports,4.57,17.0,96.05,2024-08-09 08:12:00,2024-08-09 09:23:09.062804299,2024-08-09 12:48:09.062804299,2024-08-14 12:48:09.062804299,2024-08-14 11:36:00.080811854,False,False,1.19,5.0,-0.05,6.02,Standard | Midwest -> West,1.8,34.55,On-Time,Mid Margin ($10-20)
ORD-100623,2024-07-17 01:25:00,Midwest,Southwest,Standard,Toys,0.95,9.0,47.25,2024-07-17 02:44:00,2024-07-17 08:38:09.573906376,2024-07-17 10:21:09.573906376,2024-07-22 10:21:09.573906376,2024-07-22 02:10:45.383679121,False,False,5.9,5.0,-0.34,8.94,Standard | Midwest -> Southwest,1.5,5.98,On-Time,Low Margin (<$10)
ORD-103503,2024-01-25 22:23:00,South,West,Standard,Home Goods,3.96,22.0,158.14,2024-01-25 23:48:00,2024-01-26 02:55:07.196093328,2024-01-26 04:31:07.196093328,2024-01-31 04:31:07.196093328,2024-01-30 11:13:48.363431725,False,False,3.12,5.0,-0.72,6.14,Standard | South -> West,2.0,33.26,On-Time,High Margin ($20+)
ORD-103066,2024-02-28 14:21:00,West,West,Express,Apparel,0.6,14.0,36.15,2024-02-28 14:47:00,2024-02-28 18:27:58.405701709,2024-02-28 19:30:58.405701709,2024-03-01 19:30:58.405701709,2024-03-02 00:26:07.986116123,False,False,3.68,2.0,0.2,5.17,Express | West -> West,0.4,1.87,1-2 Days Late,Mid Margin ($10-20)
ORD-100641,2024-05-25 22:56:00,Southwest,West,Standard,Sports,1.74,17.0,93.43,2024-05-26 00:18:00,2024-05-26 14:29:56.664802910,2024-05-26 15:23:56.664802910,2024-05-31 15:23:56.664802910,2024-05-30 16:38:49.177405156,False,False,14.2,5.0,-0.95,16.47,Standard | Southwest -> West,1.0,7.31,On-Time,Mid Margin ($10-20)
ORD-102170,2024-04-11 14:15:00,Southwest,Southwest,Standard,Toys,0.97,9.0,34.48,2024-04-11 15:04:00,2024-04-11 17:42:52.382119938,2024-04-11 18:52:52.382119938,2024-04-16 18:52:52.382119938,2024-04-16 08:23:53.808265309,False,False,2.65,5.0,-0.44,4.63,Standard | Southwest -> Southwest,0.4,1.63,On-Time,Low Margin (<$10)
ORD-106821,2024-04-10 16:46:00,South,Northeast,Standard,Toys,1.67,9.0,29.42,2024-04-10 18:11:00,2024-04-10 19:58:10.770915055,2024-04-10 21:24:10.770915055,2024-04-15 21:24:10.770915055,2024-04-18 10:48:49.649192539,False,False,1.79,5.0,2.56,4.64,Standard | South -> Northeast,1.4,9.82,3-5 Days Late,Low Margin (<$10)
ORD-107418,2024-07-28 02:49:00,Northeast,Southwest,Standard,Books,0.22,4.0,12.81,2024-07-28 03:59:00,2024-07-28 09:49:03.298350134,2024-07-28 12:10:03.298350134,2024-08-02 12:10:03.298350134,2024-08-02 09:34:42.300568355,False,False,5.83,5.0,-0.11,9.35,Standard | Northeast -> Southwest,2.4,2.22,On-Time,Low Margin (<$10)
ORD-101719,2024-05-21 22:06:00,West,Southwest,Standard,Books,0.75,4.0,19.31,2024-05-21 22:54:00,2024-05-22 02:46:06.806089869,2024-05-22 04:56:06.806089869,2024-05-27 04:56:06.806089869,2024-05-27 05:41:29.096002802,False,False,3.87,5.0,0.03,6.84,Standard | West -> Southwest,1.0,3.15,1-2 Days Late,Low Margin (<$10)
ORD-101302,2024-05-27 04:37:00,Midwest,South,Standard,Apparel,0.27,14.0,53.41,2024-05-27 05:10:00,2024-05-27 06:19:25.483819104,2024-05-27 08:56:25.483819104,2024-06-01 08:56:25.483819104,2024-06-01 03:54:47.889113728,False,False,1.16,5.0,-0.21,4.32,Standard | Midwest -> South,1.1,1.25,On-Time,Mid Margin ($10-20)
ORD-107827,2024-08-17 00:22:00,West,Midwest,Standard,Toys,0.37,9.0,40.63,2024-08-17 00:49:00,2024-08-17 06:38:35.379123348,2024-08-17 07:28:35.379123348,2024-08-22 07:28:35.379123348,2024-08-22 03:58:21.642954472,False,False,5.83,5.0,-0.15,7.11,Standard | West -> Midwest,1.8,2.8,On-Time,Low Margin (<$10)
ORD-105792,2024-01-15 14:58:00,Southwest,Southwest,Standard,Beauty,0.41,11.0,24.46,2024-01-15 16:09:00,2024-01-16 00:44:10.595916718,2024-01-16 03:18:10.595916718,2024-01-21 03:18:10.595916718,2024-01-20 07:55:08.642753039,False,False,8.59,5.0,-0.81,12.34,Standard | Southwest -> Southwest,0.4,0.69,On-Time,Mid Margin ($10-20)
ORD-109925,2024-12-30 06:12:00,West,Southwest,Standard,Sports,1.68,17.0,89.77,2024-12-30 06:17:00,2024-12-30 14:42:13.819410267,2024-12-30 16:06:13.819410267,2025-01-04 16:06:13.819410267,2025-01-04 22:59:34.032124886,False,False,8.42,5.0,0.29,9.9,Standard | West -> Southwest,1.0,7.06,1-2 Days Late,Mid Margin ($10-20)
ORD-108337,2024-06-01 13:40:00,Southwest,Southwest,Standard,Books,0.25,4.0,12.14,2024-06-01 14:28:00,2024-06-01 15:31:14.377624808,2024-06-01 18:12:14.377624808,2024-06-06 18:12:14.377624808,2024-06-07 14:38:34.975804574,False,False,1.05,5.0,0.85,4.54,Standard | Southwest -> Southwest,0.4,0.42,1-2 Days Late,Low Margin (<$10)
ORD-103435,2024-12-09 21:56:00,Southwest,Southwest,Standard,Sports,2.81,17.0,74.09,2024-12-09 22:42:00,2024-12-10 00:51:37.445908262,2024-12-10 01:25:37.445908262,2024-12-15 01:25:37.445908262,2024-12-14 18:22:35.201209124,False,False,2.16,5.0,-0.29,3.49,Standard | Southwest -> Southwest,0.4,4.72,On-Time,Mid Margin ($10-20)
ORD-103656,2024-04-14 12:48:00,Southwest,South,Express,Beauty,0.56,11.0,40.85,2024-04-14 14:01:00,2024-04-14 18:22:45.787813740,2024-04-14 22:02:45.787813740,2024-04-16 22:02:45.787813740,2024-04-16 04:23:01.001512831,False,False,4.36,2.0,-0.74,9.25,Express | Southwest -> South,1.0,4.37,On-Time,Mid Margin ($10-20)
ORD-105548,2024-03-14 01:05:00,West,Northeast,Standard,Toys,0.4,9.0,34.23,2024-03-14 01:36:00,2024-03-14 03:14:42.878576713,2024-03-14 04:25:42.878576713,2024-03-19 04:25:42.878576713,2024-03-17 21:44:20.974336629,False,False,1.65,5.0,-1.28,3.35,Standard | West -> Northeast,2.9,4.87,On-Time,Low Margin (<$10)
ORD-100065,2024-06-02 09:24:00,Midwest,South,Standard,Electronics,2.86,38.0,204.02,2024-06-02 10:49:00,2024-06-02 17:32:45.789010791,2024-06-02 20:31:45.789010791,2024-06-07 20:31:45.789010791,2024-06-07 19:53:28.385747971,False,False,6.73,5.0,-0.03,11.13,Standard | Midwest -> South,1.1,13.21,On-Time,High Margin ($20+)
ORD-102417,2024-03-28 13:00:00,Southwest,Northeast,Standard,Toys,0.91,9.0,51.86,2024-03-28 14:26:00,2024-03-28 19:07:27.088099573,2024-03-28 21:05:27.088099573,2024-04-02 21:05:27.088099573,2024-04-02 22:03:36.064975594,False,False,4.69,5.0,0.04,8.09,Standard | Southwest -> Northeast,2.4,9.17,1-2 Days Late,Low Margin (<$10)
ORD-103692,2024-08-10 21:21:00,Southwest,Southwest,Express,Sports,5.35,17.0,98.35,2024-08-10 22:11:00,2024-08-11 03:32:10.765787133,2024-08-11 07:08:10.765787133,2024-08-13 07:08:10.765787133,2024-08-13 08:02:12.738262940,False,False,5.35,2.0,0.04,9.79,Express | Southwest -> Southwest,0.4,16.69,1-2 Days Late,Mid Margin ($10-20)
ORD-103999,2024-12-29 09:33:00,Northeast,Midwest,Express,Apparel,0.66,14.0,38.19,2024-12-29 10:58:00,2024-12-30 03:03:12.378641658,2024-12-30 06:05:12.378641658,2025-01-01 06:05:12.378641658,2025-01-01 04:09:36.298788582,False,False,16.09,2.0,-0.08,20.54,Express | Northeast -> Midwest,1.2,6.18,On-Time,Mid Margin ($10-20)
ORD-105497,2024-06-22 11:56:00,Southwest,West,Standard,Home Goods,5.98,22.0,187.77,2024-06-22 12:09:00,2024-06-22 19:17:50.139020925,2024-06-22 20:20:50.139020925,2024-06-27 20:20:50.139020925,2024-06-27 10:26:20.761161217,False,False,7.15,5.0,-0.41,8.41,Standard | Southwest -> West,1.0,25.12,On-Time,High Margin ($20+)
ORD-100438,2024-01-27 11:02:00,Southwest,South,Standard,Apparel,0.32,14.0,28.93,2024-01-27 11:42:00,2024-01-27 14:11:13.205689317,2024-01-27 14:51:13.205689317,2024-02-01 14:51:13.205689317,2024-02-02 15:26:56.641665156,False,False,2.49,5.0,1.02,3.82,Standard | Southwest -> South,1.0,1.34,1-2 Days Late,Mid Margin ($10-20)
ORD-103566,2024-03-22 19:17:00,Northeast,Southwest,Standard,Beauty,0.5,11.0,31.59,2024-03-22 20:30:00,2024-03-22 22:50:14.121709724,2024-03-23 00:46:14.121709724,2024-03-28 00:46:14.121709724,2024-03-27 23:06:55.847947076,True,False,2.34,5.0,-0.07,5.49,Standard | Northeast -> Southwest,2.4,5.04,On-Time,Mid Margin ($10-20)
ORD-106931,2024-07-15 20:33:00,Southwest,West,Standard,Sports,0.05,17.0,77.36,2024-07-15 21:54:00,2024-07-15 23:44:53.377715256,2024-07-16 02:40:53.377715256,2024-07-21 02:40:53.377715256,2024-07-28 05:47:18.350373991,False,False,1.85,5.0,7.13,6.13,Standard | Southwest -> West,1.0,0.21,Severely Delayed (5+ Days),Mid Margin ($10-20)
ORD-101818,2024-03-27 10:07:00,Southwest,South,Standard,Sports,3.38,17.0,117.48,2024-03-27 11:26:00,2024-03-27 13:13:33.020461014,2024-03-27 15:43:33.020461014,2024-04-01 15:43:33.020461014,2024-04-01 12:43:46.817598624,False,False,1.79,5.0,-0.12,5.61,Standard | Southwest -> South,1.0,14.2,On-Time,Mid Margin ($10-20)
ORD-103605,2024-05-24 04:09:00,Southwest,Southwest,Standard,Apparel,0.53,14.0,49.76,2024-05-24 04:39:00,2024-05-24 06:46:15.021015711,2024-05-24 07:38:15.021015711,2024-05-29 07:38:15.021015711,2024-05-29 13:24:00.972986509,False,False,2.12,5.0,0.24,3.49,Standard | Southwest -> Southwest,0.4,0.89,1-2 Days Late,Mid Margin ($10-20)
